id;group;model;name;price;kolvo
684901;Двигатель;21102-4AA10A;Блок цилиндров HYUNDAI Porter 2 дв.D4CB СБ MOBIS KOREA;94485;6
660740;Двигатель;21102-42H00A;Блок цилиндров HYUNDAI Porter дв.D4BF СБ MOBIS KOREA;79905;5
699565;Двигатель;203J2-4AU00;Блок цилиндров HYUNDAI Starex H-1 (2.5-A) СБ MOBIS KOREA;97200;4
157125;Двигатель;101031DHP;Блок цилиндров UNC-060,UNC-061 гидрогенератора SPV20;7700;2
43961;Двигатель;448-01С2-1-01.30;Блок цилиндров А-41,Д-440 (раздельная головка) Германия АМЗ;66100;200
169625;Двигатель;11193-1002011;Блок цилиндров ВАЗ-11193 (1.6 16кл.) АвтоВАЗ;17100;1
181;Двигатель;2106-1002011;Блок цилиндров ВАЗ-2106 АвтоВАЗ;12850;2
184;Двигатель;21213-1002011;Блок цилиндров ВАЗ-21213 АвтоВАЗ;12745;1
672827;Двигатель;21214-1002011;Блок цилиндров ВАЗ-21214 АвтоВАЗ;12745;2
169626;Двигатель;2123-1002011;Блок цилиндров ВАЗ-2123 АвтоВАЗ;12745;1
669230;Двигатель;5256400/5289698/5289696;Блок цилиндров ГАЗ,ПАЗ дв.CUMMINS ISF 3.8;57000;3
655600;Двигатель;5261257/5261256;Блок цилиндров ГАЗ-3302 дв.CUMMINS ISF 2.8;63000;1
170043;Двигатель;560-1002009;Блок цилиндров ГАЗ-560 (ОАО ГАЗ);101000;10
109212;Двигатель;51-01-109СП;Блок цилиндров Д-160;89500;11
